Season_End_Year,Wk,Date,Home,HomeGoals,AwayGoals,Away,FTR,B365H,B365D,B365A
2011,9,2010-12-12,Freiburg,3,0,M'gladbach,H,1.91,3.6,3.8
2011,9,2010-12-12,Mainz,0,1,Schalke 04,A,2.5,3.3,2.75
2011,10,2010-12-17,M'gladbach,1,2,Hamburg,A,3.25,3.5,2.1
2011,10,2010-12-18,Werder Bremen,1,2,Kaiserslautern,A,1.62,4.0,5.0
2011,10,2010-12-18,St Pauli,2,4,Mainz,A,2.6,3.2,2.75
2011,10,2010-12-18,Wolfsburg,2,2,Hoffenheim,D,2.1,3.5,3.3
2011,10,2010-12-18,Nurnberg,3,1,Hannover,H,2.1,3.4,3.4
2011,10,2010-12-18,Ein Frankfurt,1,0,Dortmund,H,4.5,3.75,1.75
2011,10,2010-12-18,Schalke 04,3,0,FC Koln,H,1.44,4.2,7.5
2011,10,2010-12-19,Leverkusen,2,2,Freiburg,D,1.44,4.33,7.0
2011,10,2010-12-19,Stuttgart,3,5,Bayern Munich,A,4.0,3.6,1.85
2011,10,2011-01-14,Leverkusen,1,3,Dortmund,A,2.38,3.4,2.88
2011,10,2011-01-15,Wolfsburg,1,1,Bayern Munich,D,5.0,3.6,1.7
2011,10,2011-01-15,Werder Bremen,2,1,Hoffenheim,H,2.0,3.5,3.6
2011,10,2011-01-15,Stuttgart,1,0,Mainz,H,1.95,3.4,3.8
2011,10,2011-01-15,St Pauli,2,2,Freiburg,D,2.3,3.3,3.1
2011,10,2011-01-15,Schalke 04,0,1,Hamburg,A,2.1,3.4,3.4
2011,10,2011-01-15,Nurnberg,0,1,M'gladbach,A,2.0,3.5,3.6
2011,11,2011-01-16,Ein Frankfurt,0,3,Hannover,A,2.0,3.4,3.75
2011,11,2011-01-16,Kaiserslautern,1,1,FC Koln,D,1.91,3.5,4.2
2011,11,2011-01-21,Hamburg,1,0,Ein Frankfurt,H,1.53,4.0,6.0
2011,11,2011-01-22,Mainz,0,1,Wolfsburg,A,2.3,3.25,3.1
2011,11,2011-01-22,Hannover,0,1,Schalke 04,A,2.9,3.3,2.38
2011,11,2011-01-22,Freiburg,1,1,Nurnberg,D,2.38,3.2,3.0
2011,11,2011-01-22,FC Koln,3,0,Werder Bremen,H,2.9,3.3,2.38
2011,11,2011-01-22,Dortmund,1,1,Stuttgart,D,1.5,4.33,6.5
2011,11,2011-01-22,Bayern Munich,5,1,Kaiserslautern,H,1.22,6.0,12.0
2011,11,2011-01-23,Hoffenheim,2,2,St Pauli,D,1.6,3.75,5.75
2011,11,2011-01-23,M'gladbach,1,3,Leverkusen,A,4.2,3.75,1.8
2011,11,2011-01-28,Leverkusen,2,0,Hannover,H,1.53,4.0,6.0
2011,11,2011-01-29,Kaiserslautern,0,1,Mainz,A,2.2,3.3,3.25
2011,11,2011-01-29,Nurnberg,2,0,Hamburg,H,3.3,3.5,2.1
2011,11,2011-01-29,Schalke 04,0,1,Hoffenheim,A,1.73,3.5,5.0
2011,11,2011-01-29,St Pauli,3,0,FC Koln,H,2.3,3.3,3.1
2011,12,2011-01-29,Werder Bremen,1,3,Bayern Munich,A,4.75,4.0,1.67
2011,12,2011-01-29,Wolfsburg,0,3,Dortmund,A,4.0,3.75,1.83
2011,12,2011-01-30,Ein Frankfurt,0,1,M'gladbach,A,2.0,3.5,3.6
2011,12,2011-01-30,Stuttgart,0,1,Freiburg,A,1.53,3.8,6.5
2011,12,2011-02-04,Dortmund,0,0,Schalke 04,D,1.62,3.8,5.5
2011,12,2011-02-05,Nurnberg,1,0,Leverkusen,H,3.4,3.4,2.1
2011,12,2011-02-05,Mainz,1,1,Werder Bremen,D,2.4,3.4,2.8
2011,12,2011-02-05,M'gladbach,2,3,Stuttgart,A,2.88,3.3,2.4
2011,12,2011-02-05,Hannover,1,0,Wolfsburg,H,2.5,3.3,2.75
2011,12,2011-02-05,FC Koln,3,2,Bayern Munich,H,7.0,4.33,1.44
2011,12,2011-02-05,Hoffenheim,3,2,Kaiserslautern,H,1.8,3.6,4.33
2011,12,2011-02-06,Freiburg,0,0,Ein Frankfurt,D,2.1,3.4,3.4
2011,12,2011-02-12,Wolfsburg,0,1,Hamburg,A,2.5,3.3,2.75
2011,12,2011-02-12,Stuttgart,1,4,Nurnberg,A,1.73,3.6,4.75
2011,12,2011-02-12,Schalke 04,1,0,Freiburg,H,1.67,3.75,5.0
2011,12,2011-02-12,St Pauli,3,1,M'gladbach,H,2.0,3.5,3.6
2011,13,2011-02-12,Ein Frankfurt,0,3,Leverkusen,A,3.75,3.4,2.0
2011,13,2011-02-12,Bayern Munich,4,0,Hoffenheim,H,1.33,5.0,9.0
2011,13,2011-02-12,Kaiserslautern,1,1,Dortmund,D,5.5,3.8,1.62
2011,13,2011-02-13,FC Koln,4,2,Mainz,H,2.4,3.3,2.9
2011,13,2011-02-13,Werder Bremen,1,1,Hannover,D,1.73,3.75,4.5
2011,13,2011-02-16,Hamburg,0,1,St Pauli,A,1.62,3.75,5.5
2011,13,2011-02-18,Nurnberg,3,0,Ein Frankfurt,H,1.91,3.6,3.8
2011,13,2011-02-19,Mainz,1,3,Bayern Munich,A,5.0,4.0,1.62
2011,13,2011-02-19,Hannover,3,0,Kaiserslautern,H,2.0,3.5,3.6
2011,13,2011-02-19,Hoffenheim,1,1,FC Koln,D,1.75,3.7,4.5
2011,13,2011-02-19,Freiburg,2,1,Wolfsburg,H,2.5,3.3,2.75
2011,13,2011-02-19,Dortmund,2,0,St Pauli,H,1.25,5.5,12.0
2011,13,2011-02-19,Hamburg,4,0,Werder Bremen,H,1.91,3.6,3.75
2011,13,2011-02-20,Leverkusen,4,2,Stuttgart,H,1.62,4.0,5.0
2011,13,2011-02-20,M'gladbach,2,1,Schalke 04,H,3.4,3.4,2.1
2011,13,2011-02-25,Wolfsburg,2,1,M'gladbach,H,1.8,3.75,4.2
2011,14,2011-02-26,St Pauli,0,1,Hannover,A,2.3,3.5,2.88
2011,14,2011-02-26,Kaiserslautern,1,1,Hamburg,D,3.1,3.4,2.25
2011,14,2011-02-26,Schalke 04,1,1,Nurnberg,D,1.83,3.5,4.33
2011,14,2011-02-26,FC Koln,1,0,Freiburg,H,2.25,3.25,3.2
2011,14,2011-02-26,Bayern Munich,1,3,Dortmund,A,1.73,3.6,4.75
2011,14,2011-02-26,Hoffenheim,1,2,Mainz,A,2.0,3.4,3.75
2011,14,2011-02-27,Ein Frankfurt,0,2,Stuttgart,A,2.5,3.3,2.75
2011,14,2011-02-27,Werder Bremen,2,2,Leverkusen,D,3.1,3.4,2.25
2011,14,2011-03-04,Dortmund,1,0,FC Koln,H,1.33,5.0,9.0
2011,14,2011-03-05,Nurnberg,5,0,St Pauli,H,1.83,3.5,4.33
2011,14,2011-03-05,Ein Frankfurt,0,0,Kaiserslautern,D,2.3,3.4,3.0
2011,14,2011-03-05,Hannover,3,1,Bayern Munich,H,5.0,3.75,1.67
