Season_End_Year,Wk,Date,Home,HomeGoals,AwayGoals,Away,FTR,B365H,B365D,B365A
2011,7,2010-11-06,Rennes,1,1,Lyon,D,2.7,3.0,2.8
2011,7,2010-11-07,Lens,2,0,Montpellier,H,2.38,3.0,3.25
2011,7,2010-11-07,Lille,3,1,Brest,H,1.67,3.5,5.5
2011,7,2010-11-07,Nancy,0,4,Monaco,A,2.2,3.0,3.6
2011,7,2010-11-07,Nice,2,0,Toulouse,H,2.6,3.0,2.9
2011,7,2010-11-07,Paris SG,2,1,Marseille,H,2.5,3.1,2.9
2011,7,2010-11-13,Montpellier,1,0,Toulouse,H,2.05,3.2,3.8
2011,7,2010-11-13,Monaco,0,0,Arles,D,1.53,3.6,7.5
2011,7,2010-11-13,Marseille,1,1,Lens,D,1.4,4.2,9.0
2011,7,2010-11-13,Caen,2,5,Lille,A,3.5,3.0,2.25
2011,7,2010-11-13,Bordeaux,2,1,Nancy,H,1.75,3.3,5.25
2011,7,2010-11-13,Brest,1,1,Sochaux,D,2.0,3.2,4.0
2011,7,2010-11-14,Auxerre,2,1,Rennes,H,2.4,3.0,3.2
2011,8,2010-11-14,Lorient,1,1,Paris SG,D,3.0,3.0,2.5
2011,8,2010-11-14,Lyon,1,0,Nice,H,1.36,4.5,9.0
2011,8,2010-11-20,St Etienne,1,1,Auxerre,D,2.2,3.0,3.6
2011,8,2010-11-20,Toulouse,0,1,Marseille,A,3.25,3.0,2.38
2011,8,2010-11-20,Sochaux,2,0,Lorient,H,2.3,3.0,3.4
2011,8,2010-11-20,Rennes,2,1,Brest,H,1.75,3.4,5.0
2011,8,2010-11-20,Paris SG,2,1,Caen,H,1.53,3.75,7.0
2011,8,2010-11-20,Nice,0,1,Montpellier,A,2.5,3.0,3.0
2011,8,2010-11-20,Nancy,2,0,Valenciennes,H,2.15,3.1,3.6
2011,8,2010-11-21,Arles,2,4,Bordeaux,A,5.5,3.5,1.67
2011,8,2010-11-21,Lens,1,3,Lyon,A,3.8,3.1,2.1
2011,8,2010-11-21,Lille,2,1,Monaco,H,1.53,3.75,7.0
2011,8,2010-11-27,Valenciennes,3,0,Arles,H,1.5,3.6,8.0
2011,8,2010-11-27,Monaco,1,1,Nice,D,1.91,3.2,4.33
2011,8,2010-11-27,Nancy,1,1,St Etienne,D,2.25,3.0,3.5
2011,8,2010-11-27,Lorient,2,0,Rennes,H,2.45,3.0,3.1
2011,8,2010-11-27,Bordeaux,1,1,Lille,D,2.38,3.0,3.25
2011,8,2010-11-27,Marseille,4,0,Montpellier,H,1.53,3.6,7.5
2011,9,2010-11-28,Auxerre,1,2,Toulouse,A,2.0,3.1,4.1
2011,9,2010-11-28,Caen,0,3,Sochaux,A,2.2,3.1,3.4
2011,9,2010-11-28,Lyon,2,2,Paris SG,D,1.91,3.25,4.2
2011,9,2010-11-30,Brest,4,1,Lens,H,2.05,3.1,4.0
2011,9,2010-12-01,Marseille,0,0,Rennes,D,1.67,3.5,5.5
2011,9,2010-12-01,Valenciennes,1,1,St Etienne,D,2.2,3.1,3.5
2011,9,2010-12-04,Sochaux,2,1,Valenciennes,H,2.0,3.2,4.0
2011,9,2010-12-04,Toulouse,1,0,Caen,H,1.7,3.4,5.5
2011,9,2010-12-04,Rennes,1,0,Monaco,H,1.73,3.4,5.25
2011,9,2010-12-04,Montpellier,1,2,Lyon,A,3.2,3.0,2.4
2011,9,2010-12-04,Lille,6,3,Lorient,H,1.53,3.75,7.0
2011,9,2010-12-04,Lens,1,1,Auxerre,D,2.4,3.0,3.2
2011,9,2010-12-04,Arles,1,1,Nancy,D,3.5,3.1,2.2
2011,9,2010-12-05,Nice,1,0,Marseille,H,4.0,3.2,2.0
2011,9,2010-12-05,Paris SG,3,1,Brest,H,1.6,3.6,6.0
2011,9,2010-12-05,St Etienne,2,2,Bordeaux,D,2.5,3.0,3.0
2011,9,2010-12-11,Valenciennes,1,2,Paris SG,A,3.2,3.1,2.35
2011,9,2010-12-11,Nancy,1,0,Sochaux,H,2.1,3.2,3.6
2011,10,2010-12-11,Caen,0,0,Nice,D,2.05,3.1,3.9
2011,10,2010-12-11,Lorient,3,0,Lens,H,1.91,3.3,4.2
2011,10,2010-12-11,Auxerre,1,1,Marseille,D,3.2,3.1,2.3
2011,10,2010-12-11,Arles,0,1,Lille,A,7.5,3.8,1.5
2011,10,2010-12-11,Brest,0,0,Montpellier,D,2.4,3.0,3.2
2011,10,2010-12-12,Bordeaux,0,0,Rennes,D,2.05,3.1,3.9
2011,10,2010-12-12,Lyon,2,0,Toulouse,H,1.53,3.7,7.0
2011,10,2010-12-12,Monaco,0,2,St Etienne,A,2.4,3.1,3.1
2011,10,2010-12-18,St Etienne,2,0,Arles,H,1.36,4.5,9.0
2011,10,2010-12-18,Montpellier,1,1,Auxerre,D,2.1,3.1,3.8
2011,10,2010-12-18,Nice,1,1,Brest,D,2.4,3.0,3.2
2011,10,2010-12-18,Paris SG,2,2,Monaco,D,1.53,3.75,7.0
2011,10,2010-12-18,Rennes,1,0,Valenciennes,H,1.8,3.3,4.75
2011,10,2010-12-18,Toulouse,3,0,Lorient,H,2.1,3.1,3.8
2011,10,2010-12-19,Marseille,1,1,Lyon,D,2.1,3.25,3.6
2011,10,2010-12-19,Sochaux,1,1,Bordeaux,D,2.7,3.0,2.75
2011,10,2010-12-21,Lorient,0,0,Montpellier,D,2.1,3.1,3.8
2011,10,2010-12-22,Arles,0,0,Nice,D,3.25,3.1,2.3
2011,11,2010-12-22,Bordeaux,2,2,Lens,D,1.57,3.6,6.5
2011,11,2010-12-22,Brest,0,0,Marseille,D,3.8,3.0,2.15
2011,11,2010-12-22,Caen,1,0,Rennes,H,3.0,3.0,2.5
2011,11,2010-12-22,Lille,1,1,St Etienne,D,1.44,4.1,7.5
2011,11,2010-12-22,Lyon,1,1,Auxerre,D,1.53,3.75,7.0
2011,11,2010-12-22,Monaco,2,1,Sochaux,H,2.15,3.0,3.7
2011,11,2010-12-22,Nancy,2,0,Paris SG,H,3.5,3.1,2.2
2011,11,2010-12-22,Valenciennes,2,1,Toulouse,H,2.3,3.0,3.4
2011,11,2011-01-15,Toulouse,1,0,Nancy,H,2.1,3.2,3.6
2011,11,2011-01-15,Rennes,4,0,Arles,H,1.36,4.5,9.0
2011,11,2011-01-15,Paris SG,2,1,Sochaux,H,1.5,4.0,7.0
2011,11,2011-01-15,Nice,0,2,Lille,A,4.33,3.2,1.91
2011,11,2011-01-15,Lens,2,1,St Etienne,H,2.5,3.0,3.0
2011,11,2011-01-15,Lyon,3,0,Lorient,H,1.5,4.0,7.0
2011,11,2011-01-15,Brest,1,3,Caen,A,1.91,3.2,4.33
2011,11,2011-01-15,Auxerre,1,1,Monaco,D,1.83,3.25,4.75
2011,11,2011-01-15,Montpellier,2,1,Valenciennes,H,1.91,3.2,4.33
2011,11,2011-01-16,Marseille,2,1,Bordeaux,H,1.73,3.4,5.0
2011,12,2011-01-19,Lille,3,0,Nancy,H,1.4,4.2,8.5
2011,12,2011-01-22,Lens,2,0,Caen,H,2.1,3.1,3.75
2011,12,2011-01-29,St Etienne,2,1,Toulouse,H,2.2,3.0,3.6
2011,12,2011-01-29,Valenciennes,2,1,Lyon,H,3.75,3.1,2.1
2011,12,2011-01-29,Sochaux,5,1,Rennes,H,2.4,3.0,3.2
2011,12,2011-01-29,Arles,1,2,Paris SG,A,7.0,4.0,1.5
2011,12,2011-01-29,Lille,1,0,Lens,H,1.36,4.5,9.0
2011,12,2011-01-29,Caen,2,0,Auxerre,H,2.4,3.0,3.2
2011,12,2011-01-29,Lorient,2,0,Brest,H,1.91,3.25,4.33
2011,12,2011-01-30,Bordeaux,2,0,Nice,H,1.67,3.5,5.5
2011,12,2011-01-30,Monaco,0,0,Marseille,D,3.6,3.0,2.2
2011,12,2011-01-30,Nancy,1,2,Montpellier,A,2.25,3.1,3.4
2011,12,2011-02-05,Rennes,1,0,Paris SG,H,2.5,3.1,2.9
2011,12,2011-02-05,Nice,1,0,Sochaux,H,2.2,3.1,3.4
2011,12,2011-02-05,Montpellier,1,2,St Etienne,A,2.1,3.25,3.5
2011,12,2011-02-05,Marseille,1,0,Arles,H,1.2,6.5,13.0
2011,12,2011-02-05,Caen,0,2,Lorient,A,2.3,3.1,3.25
2011,12,2011-02-05,Brest,2,1,Nancy,H,2.1,3.25,3.5
2011,13,2011-02-05,Lens,1,1,Valenciennes,D,2.1,3.25,3.5
2011,13,2011-02-06,Auxerre,1,1,Lille,D,3.5,3.25,2.1
2011,13,2011-02-06,Lyon,0,0,Bordeaux,D,1.73,3.5,5.0
2011,13,2011-02-06,Toulouse,2,0,Monaco,H,1.9,3.25,4.33
2011,13,2011-02-12,Sochaux,1,2,Marseille,A,3.4,3.2,2.2
2011,13,2011-02-12,St Etienne,1,4,Lyon,A,3.25,3.0,2.38
2011,13,2011-02-12,Paris SG,0,0,Lens,D,1.4,4.5,9.0
2011,13,2011-02-12,Nancy,3,1,Auxerre,H,2.25,3.0,3.5
2011,13,2011-02-12,Monaco,3,1,Lorient,H,2.2,3.0,3.6
2011,13,2011-02-12,Bordeaux,1,2,Caen,A,1.57,3.6,6.5
2011,13,2011-02-12,Arles,0,0,Montpellier,D,4.75,3.3,1.8
2011,13,2011-02-13,Lille,2,0,Toulouse,H,1.5,3.8,7.5
2011,13,2011-02-13,Rennes,2,0,Nice,H,1.53,3.75,7.0
2011,13,2011-02-13,Valenciennes,3,0,Brest,H,2.15,3.1,3.6
2011,13,2011-02-18,Lyon,4,0,Nancy,H,1.44,3.8,9.5
2011,13,2011-02-19,Marseille,2,1,St Etienne,H,1.55,3.6,7.0
2011,13,2011-02-19,Lorient,5,1,Bordeaux,H,2.38,3.0,3.25
2011,13,2011-02-19,Lens,2,3,Sochaux,A,2.0,3.2,4.0
2011,14,2011-02-19,Caen,2,2,Valenciennes,D,2.2,3.1,3.5
2011,14,2011-02-19,Brest,2,0,Monaco,H,2.5,3.0,3.0
2011,14,2011-02-19,Auxerre,1,1,Arles,D,1.36,4.33,9.5
2011,14,2011-02-20,Montpellier,1,0,Lille,H,3.4,3.0,2.25
2011,14,2011-02-20,Nice,0,3,Paris SG,A,3.75,3.1,2.1
2011,14,2011-02-20,Toulouse,1,2,Rennes,A,2.4,3.0,3.2
2011,14,2011-02-26,Valenciennes,0,0,Lorient,D,2.1,3.1,3.75
2011,14,2011-02-26,Sochaux,0,0,Montpellier,D,2.3,3.0,3.4
