Season_End_Year,Wk,Date,Home,HomeGoals,AwayGoals,Away,FTR,B365H,B365D,B365A
2012,12,2012-07-27,Flamengo RJ,0,0,Portuguesa,D,1.73,3.52,4.6
2012,12,2012-07-27,Palmeiras,0,2,Bahia,A,1.48,3.92,6.67
2012,13,2012-07-28,Coritiba,2,1,Gremio,H,2.34,3.25,2.88
2012,13,2012-07-28,Internacional,0,0,Vasco,D,2.02,3.28,3.51
2012,13,2012-07-29,Portuguesa,3,1,Nautico,H,1.68,3.66,4.75
2012,13,2012-07-29,Santos,2,1,Ponte Preta,H,1.92,3.31,3.85
2012,13,2012-07-29,Cruzeiro,2,1,Palmeiras,H,1.9,3.32,3.93
2012,13,2012-07-29,Sport Recife,0,0,Atletico GO,D,1.98,3.32,3.65
2012,13,2012-07-29,Fluminense,0,0,Atletico-MG,D,2.18,3.26,3.16
2012,13,2012-07-29,Bahia,0,0,Corinthians,D,2.95,3.18,2.33
2012,13,2012-07-29,Botafogo RJ,1,0,Figueirense,H,1.52,3.9,5.98
2012,13,2012-07-29,Sao Paulo,4,1,Flamengo RJ,H,1.69,3.6,4.76
2012,14,2012-08-04,Atletico GO,1,2,Botafogo RJ,A,2.76,3.25,2.43
2012,14,2012-08-04,Palmeiras,0,1,Internacional,A,2.26,3.21,3.06
2012,14,2012-08-05,Gremio,3,1,Bahia,H,1.33,4.53,9.43
2012,14,2012-08-05,Portuguesa,2,0,Figueirense,H,1.8,3.47,4.25
2012,14,2012-08-05,Coritiba,0,2,Fluminense,A,2.51,3.27,2.65
2012,14,2012-08-05,Sao Paulo,1,0,Sport Recife,H,1.39,4.29,7.79
2012,14,2012-08-05,Vasco,0,0,Corinthians,D,2.06,3.24,3.48
2012,14,2012-08-05,Cruzeiro,1,2,Ponte Preta,A,1.61,3.72,5.28
2012,14,2012-08-05,Nautico,3,0,Santos,H,2.11,3.23,3.34
2012,14,2012-08-08,Internacional,0,0,Nautico,D,1.39,4.34,7.83
2012,15,2012-08-08,Sport Recife,0,2,Vasco,A,3.02,3.18,2.29
2012,15,2012-08-09,Santos,4,2,Cruzeiro,H,2.3,3.2,2.99
2012,15,2012-08-09,Figueirense,0,2,Flamengo RJ,A,2.28,3.24,2.99
2012,15,2012-08-09,Botafogo RJ,1,2,Palmeiras,A,1.81,3.37,4.29
2012,15,2012-08-09,Corinthians,1,1,Atletico GO,D,1.47,3.9,6.89
2012,15,2012-08-09,Bahia,0,0,Portuguesa,D,2.43,3.12,2.85
2012,15,2012-08-10,Atletico-MG,1,0,Coritiba,H,1.36,4.48,7.97
2012,15,2012-08-10,Fluminense,2,1,Sao Paulo,H,2.07,3.19,3.48
2012,15,2012-08-10,Ponte Preta,0,0,Gremio,D,2.73,3.27,2.43
2012,15,2012-08-11,Bahia,0,1,Cruzeiro,A,2.79,3.12,2.48
2012,16,2012-08-11,Santos,2,2,Atletico GO,D,1.82,3.36,4.18
2012,16,2012-08-11,Sport Recife,0,1,Figueirense,A,1.66,3.52,5.04
2012,16,2012-08-12,Portuguesa,1,1,Botafogo RJ,D,2.49,3.18,2.73
2012,16,2012-08-12,Fluminense,1,0,Palmeiras,H,1.73,3.44,4.68
2012,16,2012-08-12,Sao Paulo,1,2,Gremio,A,2.11,3.27,3.33
2012,16,2012-08-12,Flamengo RJ,2,0,Nautico,H,1.81,3.4,4.21
2012,16,2012-08-12,Coritiba,1,2,Corinthians,A,2.53,3.18,2.67
2012,16,2012-08-12,Atletico-MG,1,0,Vasco,H,1.8,3.38,4.33
2012,16,2012-08-12,Internacional,2,1,Ponte Preta,H,1.53,3.8,6.1
2012,16,2012-08-15,Gremio,1,2,Portuguesa,A,1.54,3.73,6.15
2012,17,2012-08-15,Cruzeiro,1,1,Fluminense,D,2.43,3.17,2.79
2012,17,2012-08-16,Botafogo RJ,2,0,Sport Recife,H,1.41,4.19,7.39
2012,17,2012-08-16,Nautico,3,0,Sao Paulo,H,2.41,3.24,2.77
2012,17,2012-08-16,Atletico GO,1,1,Atletico-MG,D,3.62,3.3,1.98
2012,17,2012-08-16,Ponte Preta,0,2,Bahia,A,1.62,3.63,5.21
2012,17,2012-08-16,Palmeiras,1,0,Flamengo RJ,H,1.82,3.43,4.17
2012,17,2012-08-17,Figueirense,1,3,Santos,A,2.58,3.2,2.59
2012,17,2012-08-17,Corinthians,1,0,Internacional,H,2.03,3.19,3.62
2012,17,2012-08-17,Vasco,2,2,Coritiba,D,1.61,3.68,5.32
2012,17,2012-08-18,Nautico,1,0,Bahia,H,1.88,3.38,3.95
2012,18,2012-08-18,Fluminense,1,0,Sport Recife,H,1.46,4.07,6.8
2012,18,2012-08-19,Sao Paulo,3,0,Ponte Preta,H,1.59,3.77,5.34
2012,18,2012-08-19,Atletico-MG,3,2,Botafogo RJ,H,1.75,3.46,4.45
2012,18,2012-08-19,Coritiba,4,0,Cruzeiro,H,1.88,3.45,3.83
2012,18,2012-08-19,Gremio,4,0,Figueirense,H,1.4,4.26,7.5
2012,18,2012-08-19,Santos,3,2,Corinthians,H,2.21,3.2,3.14
2012,18,2012-08-19,Atletico GO,2,1,Palmeiras,H,2.5,3.23,2.67
2012,18,2012-08-19,Flamengo RJ,1,0,Vasco,H,2.76,3.1,2.5
2012,18,2012-08-19,Portuguesa,1,1,Internacional,D,3.11,3.17,2.44
2012,18,2012-08-25,Vasco,1,2,Fluminense,A,3.0,3.17,2.32
2012,19,2012-08-25,Palmeiras,1,2,Santos,A,2.46,3.26,2.7
2012,19,2012-08-26,Ponte Preta,2,1,Portuguesa,H,2.4,3.17,2.87
2012,19,2012-08-26,Botafogo RJ,0,0,Flamengo RJ,D,2.29,3.21,3.02
2012,19,2012-08-26,Corinthians,1,2,Sao Paulo,A,2.21,3.26,3.11
2012,19,2012-08-26,Figueirense,3,1,Coritiba,H,2.71,3.24,2.48
2012,19,2012-08-26,Internacional,0,1,Gremio,A,2.21,3.21,3.15
2012,19,2012-08-26,Bahia,1,1,Atletico GO,D,2.05,3.27,3.51
2012,19,2012-08-26,Cruzeiro,2,2,Atletico-MG,D,3.2,3.23,2.18
2012,19,2012-08-26,Sport Recife,0,0,Nautico,D,2.47,3.22,2.72
2012,19,2012-08-29,Santos,1,3,Bahia,A,1.34,4.6,8.84
2012,20,2012-08-29,Coritiba,1,0,Internacional,H,2.55,3.16,2.69
2012,20,2012-08-30,Atletico-MG,2,2,Ponte Preta,D,1.38,4.39,7.86
2012,20,2012-08-30,Nautico,3,2,Figueirense,H,1.74,3.49,4.55
2012,20,2012-08-30,Portuguesa,3,0,Palmeiras,H,2.75,3.1,2.53
2012,20,2012-08-30,Atletico GO,0,2,Cruzeiro,A,2.25,3.29,3.01
2012,20,2012-08-30,Fluminense,1,1,Corinthians,D,2.07,3.23,3.48
2012,20,2012-08-30,Gremio,2,0,Vasco,H,1.8,3.4,4.33
2012,20,2012-08-31,Flamengo RJ,1,1,Sport Recife,D,1.5,3.91,6.34
2012,20,2012-08-31,Sao Paulo,4,0,Botafogo RJ,H,1.68,3.71,4.64
2012,20,2012-09-01,Palmeiras,0,0,Gremio,D,2.46,3.16,2.8
